time,deviceId,value
1469153431,14,25.3
1469153534,1,2
1469153554,5,5
1469153593,8,11
1469153624,1,3
1469153644,5,3
1469153731,14,25.2
1469153804,1,2
1469153874,4,1
1469153893,8,13
1469153894,1,3
1469154004,5,4
1469154005,7,24.7
1469154031,14,25.4
1469154074,1,4
1469154094,7,24.6
1469154164,1,2
1469154184,5,3
1469154185,7,24.7
1469154193,8,16
1469154254,1,4
1469154331,14,25.5
1469154344,1,2
1469154344,2,65
1469154364,5,2
1469154434,2,66
1469154454,5,3
1469154493,8,22
1469154524,1,3
1469154524,2,65
1469154614,2,66
1469154634,5,4
1469154635,7,24.6
1469154704,1,1
1469154724,5,3
1469154725,7,24.7
1469154761,8,38
1469154775,4,2
1469154794,1,3
1469154794,2,65
1469154814,7,24.6
1469154815,8,46
1469154884,2,66
1469154884,3,24.4
1469154894,8,51
1469154905,8,50
1469154931,14,25.4
1469154974,1,2
1469155084,5,4
1469155085,7,24.7
1469155154,1,3
1469155155,3,24.5
1469155204,8,23
1469155231,14,25.3
1469155244,2,65
1469155244,3,24.4
1469155334,2,66
1469155354,5,3
1469155355,7,24.6
1469155373,20,on
1469155373,21,99
1469155376,4,58
1469155383,4,57
1469155388,20,off
1469155389,20,on
1469155410,20,off
1469155423,4,56
1469155424,1,4
1469155424,2,65
1469155425,3,24.5
1469155440,21,0
1469155445,4,2
1469155503,8,26
1469155514,1,3
1469155514,3,24.4
1469155534,5,4
1469155624,5,2
1469155625,7,24.7
1469155694,2,66
1469155715,7,24.6
1469155784,1,2
1469155803,8,28
1469155804,5,3
1469155805,6,32
1469155830,14,25.2
1469155874,2,65
1469155894,7,24.7
1469155984,5,2
1469156054,2,66
1469156074,5,4
1469156103,8,26
1469156130,14,25.3
1469156144,1,3
1469156144,2,65
1469156164,5,2
1469156254,5,5
1469156345,5,3
1469156408,8,32
1469156429,14,25.5
1469156524,5,4
1469156594,1,2
1469156615,5,2
1469156684,1,4
1469156701,8,30
1469156704,5,3
1469156774,1,2
1469156864,1,3
1469156884,5,4
1469157001,8,35
1469157028,14,25.4
1469157086,8,42
1469157106,8,47
1469157134,1,4
1469157176,20,on
1469157176,21,99
1469157179,4,59
1469157188,4,58
1469157188,8,50
1469157189,8,51
1469157199,20,off
1469157199,8,52
1469157217,20,on
1469157224,1,1
1469157233,20,off
1469157244,5,3
1469157260,20,on
1469157263,8,70
1469157276,20,off
1469157306,21,0
1469157307,4,56
1469157311,4,6
1469157314,1,3
1469157328,14,25.3
1469157334,5,5
1469157404,1,2
1469157425,5,4
1469157494,3,24.5
1469157563,8,116
1469157584,1,3
1469157584,3,24.4
1469157627,14,25.2
1469157674,1,1
1469157694,5,3
1469157764,1,2
1469157777,20,on
1469157777,21,99
1469157780,4,59
1469157784,5,4
1469157790,8,67
1469157792,20,off
1469157792,8,66
1469157794,8,65
1469157797,8,64
1469157799,8,63
1469157801,8,62
1469157803,8,61
1469157811,8,59
1469157816,8,58
1469157822,21,0
1469157827,4,4
1469157827,8,57
1469157834,8,56
1469157840,8,55
1469157875,5,2
1469157927,14,25.3
1469157944,1,4
1469157964,5,3
1469158124,1,2
1469158144,8,44
1469158146,5,5
1469158214,1,3
1469158227,14,25.4
1469158234,5,3
1469158280,8,46
1469158304,1,2
1469158324,5,5
1469158394,1,3
1469158505,5,3
1469158527,14,25.6
1469158754,2,64
1469158775,5,4
1469158827,14,25.5
1469158836,8,50
1469158850,8,51
1469158910,8,52
1469158934,2,65
1469158955,5,3
1469158955,6,33
1469158978,20,on
1469158979,21,99
1469158982,4,58
1469158984,4,59
1469158994,20,off
1469159024,21,0
1469159024,2,64
1469159029,4,4
1469159054,8,56
1469159065,8,57
1469159084,8,56
1469159093,8,55
1469159097,8,56
1469159114,1,2
1469159114,2,65
1469159127,8,57
1469159132,8,58
1469159141,8,59
1469159150,8,60
1469159156,8,59
1469159160,8,58
1469159186,8,57
1469159204,2,64
1469159230,8,58
1469159238,8,59
1469159271,8,58
1469159280,8,57
1469159294,1,3
1469159294,2,65
1469159295,8,56
1469159301,8,55
1469159384,1,2
1469159405,5,4
1469159474,1,4
1469159495,5,5
1469159564,1,3
1469159585,5,3
1469159607,8,44
1469159608,20,on
1469159608,21,99
1469159609,22,on
1469159610,23,99
1469159610,4,56
1469159613,28,on
1469159613,29,99
1469159614,4,61
1469159620,8,161
1469159621,4,60
1469159623,4,61
1469159627,20,off
1469159627,4,60
1469159628,22,off
1469159643,20,on
1469159648,4,59
1469159654,22,on
1469159655,1,2
1469159655,2,64
1469159656,30,on
1469159656,31,on
1469159657,32,78
1469159666,28,off
1469159669,20,off
1469159671,30,off
1469159671,31,off
1469159673,22,off
1469159675,5,116
1469159675,7,24.6
1469159689,30,on
1469159690,31,on
1469159699,21,0
1469159701,30,off
1469159701,31,off
1469159704,4,6
1469159711,30,on
1469159711,31,on
1469159726,14,25.4
1469159728,22,on
1469159735,24,on
1469159735,25,on
1469159735,26,63
1469159740,30,off
1469159740,31,off
1469159749,1,88
1469159750,24,off
1469159750,25,off
1469159751,22,off
1469159762,24,on
1469159762,25,on
1469159765,5,108
1469159765,6,34
1469159776,24,off
1469159777,25,off
1469159788,24,on
1469159788,25,on
1469159793,29,0
1469159797,8,46
1469159802,24,off
1469159803,25,off
1469159808,24,on
1469159809,25,on
1469159811,32,0
1469159822,24,off
1469159823,25,off
1469159824,24,on
1469159825,25,on
1469159834,1,131
1469159838,24,off
1469159839,25,off
1469159841,24,on
1469159841,25,on
1469159855,5,4
1469159855,7,24.7
1469159856,24,off
1469159856,25,off
1469159868,24,on
1469159869,25,on
1469159881,24,off
1469159882,25,off
1469159925,1,86
1469159925,2,63
1469159925,3,24.5
1469159929,24,on
1469159929,25,on
1469159944,24,off
1469159944,25,off
1469159962,24,on
1469159962,25,on
1469159977,24,off
1469159977,25,off
1469160010,24,on
1469160010,25,on
1469160018,1,124
1469160018,2,62
1469160025,24,off
1469160025,25,off
1469160026,14,25.3
1469160035,5,2
1469160035,7,24.8
1469160036,24,on
1469160036,25,on
1469160050,24,off
1469160050,25,off
1469160051,23,0
1469160076,24,on
1469160076,25,on
1469160090,24,off
1469160090,25,off
1469160091,24,on
1469160092,25,on
1469160096,8,41
1469160105,1,110
1469160106,24,off
1469160106,25,off
1469160108,24,on
1469160108,25,on
1469160110,22,on
1469160110,23,99
1469160114,20,on
1469160115,21,99
1469160117,4,58
1469160125,4,59
1469160126,28,on
1469160126,24,off
1469160127,25,off
1469160128,5,4
1469160129,29,99
1469160131,8,156
1469160133,20,off
1469160136,22,off
1469160163,21,0
1469160168,4,6
1469160179,20,on
1469160179,21,99
1469160182,4,59
1469160184,4,58
1469160194,20,off
1469160195,1,76
1469160196,2,61
1469160196,4,59
1469160197,26,0
1469160198,4,58
1469160224,21,0
1469160230,4,6
1469160275,28,off
1469160285,1,8
1469160285,2,60
1469160286,3,24.6
1469160301,23,0
1469160315,28,on
1469160331,28,off
1469160361,28,on
1469160375,1,3
1469160395,5,3
1469160408,28,off
1469160430,8,144
1469160433,28,on
1469160448,28,off
1469160452,28,on
1469160465,1,4
1469160467,28,off
1469160530,4,3
1469160555,1,3
1469160569,28,on
1469160575,5,4
1469160616,28,off
1469160625,14,25.5
1469160645,2,59
1469160677,28,on
1469160692,28,off
1469160730,8,139
1469160731,28,on
1469160735,3,24.5
1469160747,28,off
1469160754,28,on
1469160755,5,3
1469160765,28,off
1469160845,5,4
1469160861,28,on
1469160876,28,off
1469160925,14,25.6
1469160935,5,2
1469160953,28,on
1469160969,28,off
1469161005,1,2
1469161025,5,3
1469161030,8,132
1469161032,8,131
1469161115,5,4
1469161115,7,24.7
1469161130,4,4
1469161164,28,on
1469161179,28,off
1469161185,1,4
1469161205,5,3
1469161205,7,24.8
1469161224,14,25.5
1469161275,1,3
1469161292,28,on
1469161295,5,4
1469161295,7,24.7
1469161307,28,off
1469161316,28,on
1469161331,8,130
1469161332,28,off
1469161365,1,4
1469161365,2,58
1469161385,5,3
1469161385,7,24.8
1469161414,28,on
1469161440,28,off
1469161455,1,3
1469161459,28,on
1469161475,7,24.7
1469161484,28,off
1469161511,28,on
1469161532,28,off
1469161538,28,on
1469161565,7,24.8
1469161622,22,on
1469161622,23,99
1469161632,8,135
1469161634,28,off
1469161635,1,4
1469161635,3,24.4
1469161655,7,24.7
1469161664,24,on
1469161664,25,on
1469161665,26,63
1469161678,24,off
1469161679,25,off
1469161679,22,off
1469161680,24,on
1469161680,25,on
1469161694,24,off
1469161694,25,off
1469161695,24,on
1469161696,25,on
1469161710,24,off
1469161710,25,off
1469161725,1,123
1469161726,2,59
1469161727,24,on
1469161727,25,on
1469161731,4,6
1469161741,24,off
1469161742,25,off
1469161748,5,5
1469161750,24,on
1469161750,25,on
1469161764,24,off
1469161765,25,off
1469161766,24,on
1469161766,25,on
1469161780,24,off
1469161781,25,off
1469161799,29,0
1469161804,8,48
1469161815,1,88
1469161816,2,61
1469161824,14,25.6
1469161835,5,3
1469161835,7,24.8
1469161857,24,on
1469161857,25,on
1469161871,24,off
1469161872,25,off
1469161880,8,50
1469161884,8,51
1469161896,8,52
1469161905,1,80
1469161906,3,24.5
1469161979,23,0
1469161995,1,119
1469161996,2,63
1469162006,24,on
1469162007,25,on
1469162015,5,4
1469162023,24,off
1469162023,25,off
1469162026,24,on
1469162027,25,on
1469162031,4,5
1469162040,24,off
1469162041,25,off
1469162042,24,on
1469162043,25,on
1469162051,8,57
1469162057,24,off
1469162057,25,off
1469162062,8,58
1469162062,24,on
1469162063,25,on
1469162066,8,57
1469162077,24,off
1469162077,25,off
1469162077,8,58
1469162078,24,on
1469162079,25,on
1469162086,1,72
1469162086,2,65
1469162105,5,2
1469162109,24,off
1469162109,25,off
1469162111,24,on
1469162112,25,on
1469162124,14,25.5
1469162125,8,57
1469162126,24,off
1469162126,25,off
1469162127,8,58
1469162130,24,on
1469162130,25,on
1469162136,8,57
1469162138,8,58
1469162145,8,57
1469162147,8,58
1469162151,22,on
1469162152,8,57
1469162152,23,99
1469162153,20,on
1469162154,21,99
1469162157,4,61
1469162159,24,off
1469162159,25,off
1469162166,8,56
1469162173,22,off
1469162176,1,96
1469162176,3,24.6
1469162177,4,60
1469162188,4,62
1469162192,4,61
1469162199,8,57
1469162200,5,4
1469162202,22,on
1469162203,4,60
1469162205,28,on
1469162206,4,61
1469162206,34,42
1469162208,8,159
1469162210,4,60
1469162231,28,off
1469162233,4,61
1469162234,26,0
1469162237,4,60
1469162247,22,off
1469162250,20,off
1469162266,1,4
1469162266,2,64
1469162274,4,59
1469162280,23,0
1469162280,21,0
1469162285,4,6
1469162356,1,3
1469162357,2,63
1469162357,3,24.7
1469162371,8,62
1469162460,13,24.8
1469162465,5,2
1469162466,7,24.7
1469162536,2,62
1469162555,7,24.8
1469162645,5,5
1469162684,8,72
1469162712,8,73
1469162716,1,2
1469162716,2,61
1469162717,3,24.6
1469162736,5,4
1469162749,8,74
1469162760,13,24.7
1469162762,8,75
1469162794,8,74
1469162806,1,3
1469162807,3,24.7
1469162816,8,73
1469162872,8,72
1469162882,20,on
1469162883,21,99
1469162885,4,60
1469162886,8,71
1469162896,1,5
1469162897,3,24.6
1469162899,4,59
1469162901,20,off
1469162932,21,0
1469162937,4,7
1469162958,8,69
1469162960,28,on
1469162961,29,99
1469162962,8,170
1469162979,28,off
1469162986,1,2
1469163005,5,3
1469163005,6,35
1469163023,14,25.7
1469163076,1,3
1469163095,5,4
1469163096,7,24.7
1469163166,2,60
1469163185,5,3
1469163186,7,24.8
1469163262,8,167
1469163275,5,2
1469163323,14,25.5
1469163346,1,2
1469163361,13,24.8
1469163365,5,3
1469163436,1,3
1469163437,3,24.5
1469163455,5,4
1469163537,4,8
1469163545,5,3
1469163562,8,185
1469163619,1,2
1469163623,14,25.4
1469163702,20,on
1469163702,21,99
1469163705,4,64
1469163705,22,on
1469163706,23,99
1469163706,1,4
1469163708,4,66
1469163708,34,48
1469163727,20,off
1469163736,20,on
1469163745,4,65
1469163748,4,66
1469163759,4,65
1469163768,4,62
1469163770,4,63
1469163775,4,61
1469163776,22,off
1469163779,4,65
1469163780,28,on
1469163796,1,5
1469163798,20,off
1469163811,4,64
1469163815,5,4
1469163816,7,24.7
1469163819,28,off
1469163828,23,0
1469163828,21,0
1469163829,4,61
1469163833,4,10
1469163851,28,on
1469163862,8,195
1469163880,28,off
1469163881,28,on
1469163886,1,3
1469163905,5,3
1469163912,28,off
1469163920,28,on
1469163922,14,25.3
1469163925,22,on
1469163926,23,99
1469163927,29,0
1469163928,41,on
1469163929,38,5
1469163930,38,92
1469163938,8,107
1469163939,20,on
1469163939,21,99
1469163940,28,off
1469163941,4,44
1469163943,4,65
1469163944,38,54
1469163949,38,0
1469163950,4,64
1469163953,20,off
1469163954,20,on
1469163969,22,off
1469163970,20,off
1469163970,4,63
1469163971,20,on
1469163976,1,5
1469163976,2,59
1469163985,4,64
1469163986,20,off
1469163987,20,on
1469163990,22,on
1469163992,4,63
1469163993,24,on
1469163993,25,on
1469163993,26,63
1469164000,5,4
1469164003,20,off
1469164006,22,off
1469164007,24,off
1469164007,25,off
1469164009,24,on
1469164009,25,on
1469164023,24,off
1469164024,25,off
1469164033,21,0
1469164034,4,62
1469164038,4,12
1469164063,24,on
1469164063,25,on
1469164066,1,94
1469164067,2,60
1469164085,5,3
1469164093,24,off
1469164094,25,off
1469164102,24,on
1469164102,25,on
1469164104,22,on
1469164116,24,off
1469164117,25,off
1469164156,22,off
1469164157,1,103
1469164176,5,5
1469164176,7,24.8
1469164216,26,0
1469164235,8,101
1469164246,1,3
1469164265,5,2
1469164355,5,4
1469164356,6,34
1469164426,1,4
1469164445,7,24.7
1469164456,23,0
1469164516,1,2
1469164524,14,25.4
1469164535,8,105
1469164536,5,3
1469164625,5,4
1469164639,4,9
1469164696,1,3
1469164715,7,24.8
1469164786,2,59
1469164805,7,24.7
1469164822,14,25.5
1469164835,8,114
1469164876,1,4
1469164939,4,12
1469164985,5,5
1469165057,1,2
1469165075,5,4
1469165076,7,24.8
1469165134,8,123
1469165165,6,35
1469165166,7,24.7
1469165239,4,16
1469165255,5,5
1469165421,14,25.4
1469165437,8,108
1469165438,5,4
1469165506,1,3
1469165507,3,24.4
1469165540,4,20
1469165616,5,3
1469165616,7,24.8
1469165686,1,2
1469165705,5,4
1469165720,14,25.3
1469165733,8,146
1469165763,13,24.7
1469165776,4,36
1469165777,3,24.5
1469165866,1,3
1469165867,3,24.4
1469165975,5,3
1469165976,7,24.7
1469166020,4,44
1469166033,8,157
1469166047,2,58
1469166066,7,24.8
1469166137,1,1
1469166137,2,59
1469166155,5,4
1469166156,7,24.7
1469166227,1,2
1469166227,2,58
1469166245,5,3
1469166248,4,48
1469166252,4,49
1469166319,14,25.2
1469166333,8,172
1469166335,5,4
1469166336,7,24.8
1469166407,1,3
1469166407,2,59
1469166425,5,3
1469166426,7,24.7
1469166487,4,61
1469166495,4,62
1469166497,1,2
1469166509,4,63
1469166515,5,5
1469166517,4,64
1469166526,4,65
1469166551,4,64
1469166561,4,65
1469166566,4,66
1469166570,4,67
1469166587,1,3
1469166605,5,4
1469166632,8,202
1469166677,1,4
1469166695,5,5
1469166696,7,24.8
1469166767,1,3
1469166767,2,58
1469166786,7,24.6
1469166811,4,68
1469166857,2,59
1469166875,5,3
1469166876,7,24.7
1469166919,14,25.3
1469166932,8,212
1469166947,2,58
1469166966,5,2
1469167037,1,2
1469167055,5,3
1469167056,7,24.8
1469167087,4,53
1469167100,4,54
1469167109,4,55
1469167127,4,56
1469167136,4,57
1469167138,4,56
1469167144,4,55
1469167145,5,4
1469167146,7,24.7
1469167149,4,54
1469167158,4,55
1469167173,4,54
1469167175,4,53
1469167178,4,52
1469167221,14,25.4
1469167232,8,196
1469167235,5,3
1469167307,2,59
1469167326,5,5
1469167326,7,24.8
1469167397,1,3
1469167415,5,2
1469167416,7,24.7
1469167478,4,45
1469167487,1,4
1469167487,2,58
1469167506,5,4
1469167518,14,25.3
1469167531,8,216
1469167577,1,3
1469167595,5,3
1469167757,1,2
1469167757,2,59
1469167757,3,24.3
1469167776,5,4
1469167776,6,36
1469167778,4,32
1469167818,14,25.4
1469167831,8,184
1469167847,1,1
1469167847,3,24.4
1469167866,5,3
1469167937,1,3
1469167989,8,134
1469168027,1,2
1469168078,4,16
1469168117,1,3
1469168117,14,25.3
1469168136,6,35
1469168207,2,58
1469168207,3,24.3
1469168226,7,24.8
1469168289,8,80
1469168290,8,81
1469168293,8,80
1469168297,1,1
1469168297,2,59
1469168297,3,24.4
1469168298,8,81
1469168306,8,80
1469168316,5,5
1469168316,7,24.7
1469168379,4,8
1469168387,1,3
1469168406,7,24.6
1469168477,3,24.3
1469168496,5,3
1469168496,6,36
1469168496,7,24.7
1469168567,1,2
1469168586,5,5
1469168586,7,24.6
1469168611,8,74
1469168613,8,75
1469168646,8,76
1469168657,1,3
1469168657,2,58
1469168662,8,77
1469168677,5,3
1469168677,7,24.7
1469168688,8,78
1469168698,8,79
1469168719,8,80
1469168720,14,25.5
1469168747,1,2
1469168766,5,4
1469168766,7,24.6
1469168837,1,3
1469168837,2,59
1469168856,5,5
1469168927,1,2
1469168946,5,3
1469168952,8,82
1469168953,8,83
1469168970,8,84
1469168979,4,9
1469169017,1,3
1469169017,2,58
1469169036,5,4
1469169036,7,24.7
1469169066,13,24.6
1469169107,1,2
1469169216,5,3
1469169270,8,104
1469169279,4,10
1469169287,1,3
1469169306,5,4
1469169396,5,2
1469169396,7,24.6
1469169467,3,24.4
1469169486,5,3
1469169486,7,24.7
1469169557,3,24.3
1469169569,8,96
1469169576,5,4
1469169616,14,25.4
1469169737,1,2
1469169756,5,2
1469169846,5,3
1469169869,8,114
1469169916,14,25.3
1469169917,2,57
1469169936,5,5
1469169936,6,35
1469170007,1,3
1469170026,5,4
1469170116,5,2
1469170116,6,36
1469170169,8,131
1469170180,4,12
1469170206,5,4
1469170220,14,25.2
1469170277,2,58
1469170296,5,2
1469170367,2,57
1469170386,5,4
1469170468,8,176
1469170476,5,2
1469170476,7,24.6
1469170481,4,15
1469170566,5,5
1469170637,2,58
1469170656,5,4
1469170727,1,2
1469170746,5,3
1469170768,8,210
1469170782,4,18
1469170817,14,25.4
1469170836,5,5
1469170907,1,3
1469170907,3,24.2
1469170926,5,4
1469170997,1,2
1469171068,8,161
1469171081,4,14
1469171106,5,2
1469171106,7,24.4
1469171115,14,25.5
1469171177,3,24.1
1469171196,5,3
1469171196,7,24.5
1469171286,5,5
1469171286,7,24.3
1469171357,1,3
1469171358,3,24.2
1469171368,8,118
1469171376,5,6
1469171376,7,24.4
1469171382,4,10
1469171414,14,25.4
1469171447,3,24.1
1469171466,5,4
1469171466,7,24.5
1469171556,5,3
1469171556,7,24.6
1469171627,1,2
1469171646,7,24.5
1469171668,8,125
1469171682,4,11
1469171717,1,3
1469171717,2,57
1469171718,3,24.2
1469171736,5,2
1469171736,7,24.6
1469171826,5,3
1469171897,1,1
1469171897,3,24.3
1469171916,5,4
1469171916,6,35
1469171917,7,24.5
1469171967,8,135
1469171982,4,12
1469171987,1,3
1469171987,3,24.2
1469172006,7,24.6
1469172015,14,25.3
1469172096,5,3
1469172096,7,24.5
1469172167,3,24.3
1469172186,5,4
1469172191,20,on
1469172192,21,99
1469172195,4,66
1469172207,20,off
1469172208,20,on
1469172211,4,67
1469172213,4,66
1469172223,20,off
1469172226,4,65
1469172229,20,on
1469172236,4,66
1469172238,4,65
1469172245,20,off
1469172257,1,2
1469172267,8,133
1469172275,21,0
1469172276,4,63
1469172276,5,3
1469172280,4,12
1469172314,14,25.2
1469172347,1,3
1469172347,3,24.2
1469172366,5,5
1469172366,7,24.6
1469172437,3,24.3
1469172456,5,4
1469172456,7,24.5
1469172527,1,2
1469172546,5,2
1469172567,8,121
1469172580,4,10
1469172614,14,25.3
1469172617,1,4
1469172636,7,24.6
1469172707,1,3
1469172726,5,3
1469172797,1,2
1469172816,5,4
1469172867,8,98
1469172869,8,97
1469172881,4,9
1469172887,1,1
1469172906,5,5
1469172914,14,25.5
1469172977,1,3
1469172996,5,4
1469173067,1,2
1469173068,3,24.2
1469173086,7,24.4
1469173158,3,24.1
1469173169,8,92
1469173176,7,24.3
1469173181,4,8
1469173247,3,24.2
1469173266,5,5
1469173267,7,24.4
1469173337,1,3
1469173338,3,24.1
1469173356,5,4
1469173393,20,on
1469173394,21,99
1469173396,4,62
1469173399,4,63
1469173408,20,off
1469173410,20,on
1469173422,4,62
1469173427,1,2
1469173429,4,63
1469173431,4,62
1469173439,20,off
1469173446,5,3
1469173447,7,24.3
1469173460,4,61
1469173462,20,on
1469173468,4,62
1469173469,8,101
1469173476,4,61
1469173478,20,off
1469173509,21,0
1469173513,4,9
1469173517,1,3
1469173572,13,24.7
1469173607,3,24.2
1469173626,7,24.5
1469173716,5,5
1469173717,7,24.4
1469173769,8,105
1469173787,1,2
1469173787,2,56
1469173806,5,4
1469173806,6,34
1469173807,7,24.5
1469173814,14,25.3
1469173872,13,24.6
1469173877,1,3
1469174069,8,121
1469174076,5,3
1469174077,7,24.6
1469174114,14,25.2
1469174147,3,24.3
1469174166,5,5
1469174237,1,2
1469174256,5,4
1469174257,7,24.5
1469174328,3,24.2
1469174369,8,143
1469174414,4,10
1469174417,1,1
1469174437,5,3
1469174437,7,24.6
1469174507,1,3
1469174526,7,24.4
1469174595,20,on
1469174596,21,99
1469174598,4,63
1469174616,7,24.5
1469174619,4,62
1469174627,20,off
1469174628,20,on
1469174630,4,63
1469174632,4,62
1469174642,4,61
1469174649,4,62
1469174649,20,off
1469174655,4,61
1469174669,8,110
1469174680,21,0
1469174684,4,8
1469174687,1,2
1469174688,3,24.3
1469174707,7,24.4
1469174773,13,24.7
1469174777,3,24.2
1469174796,5,2
1469174797,7,24.5
1469174887,5,4
1469174887,7,24.4
1469174957,1,3
1469174958,3,24.1
1469174969,8,116
1469174976,5,3
1469175014,14,25.4
1469175047,1,2
1469175048,3,24.2
1469175066,7,24.5
1469175074,13,24.6
1469175137,1,3
1469175156,5,4
1469175269,8,106
1469175314,14,25.5
1469175317,1,4
1469175318,3,24.3
1469175336,5,3
1469175374,13,24.7
1469175408,1,2
1469175408,2,55
1469175408,3,24.1
1469175497,1,3
1469175516,5,5
1469175517,6,33
1469175517,7,24.4
1469175569,8,93
1469175587,2,56
1469175588,3,24.2
1469175606,5,3
1469175607,7,24.5
1469175614,14,25.4
1469175674,13,24.6
1469175677,1,1
1469175697,5,5
1469175767,1,2
1469175786,5,2
1469175787,7,24.6
1469175849,8,82
1469175857,1,3
1469175858,3,24.1
1469175871,8,81
1469175879,5,4
1469175880,7,24.4
1469175886,4,7
